"Site","Count","Percent"
"Administration (Head Office)","94","32.1"
"IT Phishing Test","16","5.5"
"Sumas Shelter","11","3.8"
"Oasis","8","2.7"
"Vancouver LEEP","8","2.7"
"Health Solutions","7","2.4"
"Tamura House","7","2.4"
"Walton Shelter","7","2.4"
"New Roots","6","2"
"Powell Street Getaway","6","2"
"Sturgeon Lodge","6","2"
"MDABC Psychiatric Clinic & Wellness Centre","5","1.7"
"North Shore Housing Centre","5","1.7"
"Powell Horizons","5","1.7"
"Red Lion Inn","5","1.7"
"Sq'umul' Shelh Lelum'","5","1.7"
"Walton Residence","5","1.7"
"Acorn House","4","1.4"
"Al Mitchell Place","4","1.4"
"Cliff Block","4","1.4"
"Cole Starnes Residence","4","1.4"
"First Place","4","1.4"
"Gateway Shelter","4","1.4"
"Sakura So","4","1.4"
"SPUDS","4","1.4"
"Surrey LEEP","4","1.4"
"Yukon Housing Centre","4","1.4"
"Abbotsford Health Contact Centre","3","1"
"Cowichan Wellness and Recovery Centre","3","1"
"Drake Road Supportive Housing","3","1"
"ICM Program","3","1"
"SafePoint","3","1"
"Savoy Hotel","3","1"
"Baird Blackstone Building","2","0.7"
"Courtney Junction","2","0.7"
"Guildford Shelter","2","0.7"
"Homewood","2","0.7"
"ICM House","2","0.7"
"North Shore Junction","2","0.7"
"Russell Residence and Housing Centre","2","0.7"
"Surrey Smoking Ops","2","0.7"
"Alderson","1","0.3"
"Avalon Hotel","1","0.3"
"Carr's Place","1","0.3"
"Cedar Valley Corrections","1","0.3"
"Grosvenor ABI","1","0.3"
"Jeffrey Ross Residence","1","0.3"
"Jim Green","1","0.3"
"Keefer Lodge","1","0.3"
"Langley HCC","1","0.3"
"Parc-Thompson House","1","0.3"
"Parkway Shelter","1","0.3"
"The Art Studios","1","0.3"
"The Village","1","0.3"
